Désignation;Type de médicament;Laboratoire
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 460 mg/400 mg FRUITS ROUGES  suspension buvable en sachet;suspension buvable;SANOFI AVENTIS FRANCE
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 460 mg/400 mg  suspension buvable en sachet;suspension buvable;SANOFI AVENTIS FRANCE
MAALOX MAUX D'ESTOMAC HYDROXYDE D'ALUMINIUM/HYDROXYDE DE MAGNESIUM 525 mg/600 mg  suspension buvable en flacon;suspension buvable;SANOFI AVENTIS FRANCE
MAALOX REFLUX ALGINATE DE SODIUM/BICARBONATE DE SODIUM MENTHE 500 mg/267 mg SANS SUCRE  suspension buvable en sachet  édulcorée à la saccharine sodique;suspension buvable;SANOFI AVENTIS FRANCE
MABELIO 500 mg  poudre pour solution à diluer pour solution pour perfusion;poudre pour solution à diluer pour perfusion;CORREVIO
MABTHERA 100 mg  solution à diluer pour perfusion;solution à diluer pour perfusion;ROCHE REGISTRATION
MABTHERA 1400 mg  solution pour injection sous-cutanée;solution injectable;ROCHE REGISTRATION
MABTHERA 500 mg  solution à diluer pour perfusion;solution à diluer pour perfusion;ROCHE REGISTRATION
MACROGOL 3350 MYLAN 13 125 g  poudre pour solution buvable en sachet;poudre pour solution buvable;MYLAN SAS
MACROGOL 4000 MYLAN 10 g  poudre pour solution buvable en sachet-dose;poudre pour solution buvable;MYLAN SAS
MACROGOL 4000 SANDOZ 10 g  poudre pour solution buvable en sachet;poudre pour solution buvable;IPSEN CONSUMER HEALTHCARE
MACROGOL BIOGARAN 10 g  poudre pour solution buvable en sachet;poudre pour solution buvable;IPSEN CONSUMER HEALTHCARE
MACUGEN 0 3 mg  solution injectable;solution injectable;PHARMASWISS CESKA REPUBLIKA (RÉPUBLIQUE TCHÈQUE)
MADECASSOL 1 POUR CENT  crème;crème;BAYER HEALTHCARE
MADECASSOL 10 mg  comprimé;comprimé;BAYER HEALTHCARE
MAG 2 100 mg  comprimé;comprimé;COOPER
MAG 2 SANS SUCRE 122 mg  solution buvable en ampoule édulcoré à la saccharine sodique;solution buvable;COOPER
MAG 2  poudre pour solution buvable en sachet;poudre pour solution buvable;COOPER
MAGINJECTABLE 0 8 POUR CENT  solution injectable;solution injectable;COOPER
MAGNE B6 48 mg/5 mg  comprimé enrobé;comprimé enrobé;SANOFI AVENTIS FRANCE
MAGNEGITA 0 5 mmol/ml  solution injectable (IV);solution injectable;AGFA HEALTHCARE IMAGING AGENTS (ALLEMAGNE)
MAGNESIA BOROCITRICA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MAGNESIA CARBONICA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MAGNESIA CARBONICA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MAGNESIA CARBONICA WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  poudre et  solution en gouttes en gouttes;WELEDA
MAGNESIA MURIATICA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MAGNESIA MURIATICA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MAGNESIA MURIATICA WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  poudre et  solution en gouttes en gouttes;WELEDA
MAGNESIA PHOSPHORICA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MAGNESIA PHOSPHORICA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MAGNESIA PHOSPHORICA WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  poudre et  solution en gouttes en gouttes;WELEDA
MAGNESIA SULFURICA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MAGNESIA SULFURICA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MAGNESIE SAN PELLEGRINO ANISEE 44 9 %  poudre effervescente pour suspension buvable;poudre effervescent(e) pour suspension buvable;LABORATOIRES AUVEX
MAGNESIE SAN PELLEGRINO ANISEE 90 %  poudre pour suspension buvable;poudre pour suspension buvable;LABORATOIRES AUVEX
MAGNESIE SAN PELLEGRINO SANS ANIS 90 %  poudre pour suspension buvable;poudre pour suspension buvable;LABORATOIRES AUVEX
MAGNESIUM ARROW 150 mg  comprimé effervescent;comprimé effervescent(e);ARROW GENERIQUES
MAGNESIUM CHLORURE RENAUDIN 10 % (0 1 g/ml)  solution injectable (IV) en ampoule;solution injectable;LABORATOIRE RENAUDIN
MAGNESIUM GLYCOCOLLE LAFARGE  comprimé pelliculé;comprimé pelliculé;SERP
MAGNESIUM METALLICUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MAGNESIUM OLIGOSOL  solution buvable en ampoule;solution buvable;LABCATAL
MAGNESIUM/VITAMINE B6 BIOGARAN 48 mg/5 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
MAGNESIUM/VITAMINE B6 BIOGARAN CONSEIL 48 mg/5 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
MAGNESIUM/VITAMINE B6 MYLAN 48 mg/5 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
MAGNESPASMYL 1 9 POUR CENT  granulés;granulés;ETHYPHARM
MAGNESPASMYL 47 4 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES ETHYPHARM
MAGNEVIE B6 100 mg/10 mg  comprimé pelliculé;comprimé pelliculé;SANOFI AVENTIS FRANCE
MAGNEVIST 2 mmol/l  solution injectable en seringue préremplie (voie intra-articulaire);solution injectable;BAYER HEALTHCARE
MAGNEVIST  solution injectable (IV);solution injectable;BAYER HEALTHCARE
MAGNEVIST  solution injectable en seringue pré-remplie (IV);solution injectable;BAYER HEALTHCARE
MALARONE 250 mg/100 mg  comprimé pelliculé;comprimé pelliculé;GLAXOSMITHKLINE
MALARONE 62 5 mg/25 mg ENFANTS  comprimé pelliculé;comprimé pelliculé;GLAXOSMITHKLINE
MALOCIDE 50 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
MANDRAGORA OFFICINARUM  décocté WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;crème et solution et granules et poudre;WELEDA
MANGANESE OLIGOSOL  solution buvable en ampoule;solution buvable;LABCATAL
MANGANESE-COBALT OLIGOSOL  solution buvable en ampoule;solution buvable;LABCATAL
MANGANESE-CUIVRE OLIGOSOL  solution buvable en ampoule;solution buvable;LABCATAL
MANGANESE-CUIVRE-COBALT OLIGOSOL  solution buvable en ampoule;solution buvable;LABCATAL
MANGANUM ACETICUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MANGANUM ACETICUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MANGANUM METALLICUM BOIRON  degré de dilution compris entre 2CH à 30CH et 4DH à 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MANIDIPINE BIOGARAN 10 mg  comprimé;comprimé;BIOGARAN
MANIDIPINE BIOGARAN 20 mg  comprimé;comprimé;BIOGARAN
MANIDIPINE EG 10 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
MANIDIPINE EG 20 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
MANIDIPINE MYLAN 10 mg  comprimé;comprimé;MYLAN SAS
MANIDIPINE MYLAN 20 mg  comprimé;comprimé;MYLAN SAS
MANIDIPINE RATIOPHARM 10 mg  comprimé;comprimé;RATIOPHARM (ALLEMAGNE)
MANIDIPINE RATIOPHARM 20 mg  comprimé;comprimé;RATIOPHARM (ALLEMAGNE)
MANIDIPINE SANDOZ 10 mg  comprimé;comprimé;SANDOZ
MANIDIPINE SANDOZ 20 mg  comprimé;comprimé;SANDOZ
MANIDIPINE TEVA 10 mg  comprimé;comprimé;TEVA SANTE
MANIDIPINE TEVA 20 mg  comprimé;comprimé;TEVA SANTE
MANIDIPINE ZENTIVA 10 mg  comprimé;comprimé;ZENTIVA FRANCE
MANIDIPINE ZENTIVA 20 mg  comprimé;comprimé;ZENTIVA FRANCE
MANNITOL 10 POUR CENT MACO PHARMA  solution pour perfusion;solution pour perfusion;MACO PHARMA
MANNITOL 20 POUR CENT B. BRAUN  solution injectable hypertonique pour perfusion en flacon verre;solution injectable hypertonique pour perfusion;B BRAUN MEDICAL
MANNITOL 20 POUR CENT MACO PHARMA  solution pour perfusion;solution pour perfusion;MACO PHARMA
MANNITOL B. BRAUN 10 POUR CENT  solution pour perfusion;solution pour perfusion;B BRAUN MEDICAL
MANNITOL BIOSEDRA 10 POUR CENT  solution pour perfusion;solution pour perfusion;FRESENIUS KABI FRANCE
MANNITOL BIOSEDRA 20 POUR CENT  solution pour perfusion;solution pour perfusion;FRESENIUS KABI FRANCE
MANNITOL LAVOISIER 20 POUR CENT  solution pour perfusion;solution pour perfusion;CHAIX ET DU MARAIS
MANTADIX 100 mg  capsule;capsule;LABORATOIRE XO
MARGA  comprimé à sucer;comprimé à sucer;COOPER
MARSILID 50 mg  comprimé sécable;comprimé sécable;EFISCIENS (MALTE)
MATRIFEN 100 microgrammes/heure  dispositif transdermique;dispositif;TAKEDA FRANCE
MATRIFEN 12 microgrammes/heure  dispositif transdermique;dispositif;TAKEDA FRANCE
MATRIFEN 25 microgrammes/heure  dispositif transdermique;dispositif;TAKEDA FRANCE
MATRIFEN 50 microgrammes/heure  dispositif transdermique;dispositif;TAKEDA FRANCE
MATRIFEN 75 microgrammes/heure  dispositif transdermique;dispositif;TAKEDA FRANCE
MAVIRET 100 mg/40 mg  comprimé pelliculé;comprimé pelliculé;ABBVIE DEUTSCHLAND (ALLEMAGNE)
MAXALT 10 mg  comprimé;comprimé;MSD FRANCE
MAXALT 5 mg  comprimé;comprimé;MSD FRANCE
MAXALTLYO 10 mg  lyophilisat oral;lyophilisat;MSD FRANCE
MAXALTLYO 5 mg  lyophilisat oral;lyophilisat;MSD FRANCE
MAXIDEX 0 1 POUR CENT  collyre;collyre;NOVARTIS PHARMA
MAXIDROL  collyre;collyre;NOVARTIS PHARMA
MAXIDROL  pommade ophtalmique;pommade;NOVARTIS PHARMA
MAXILASE MAUX DE GORGE ALPHA-AMYLASE 200 U.CEIP/ml  sirop;sirop;SANOFI AVENTIS FRANCE
MAXILASE MAUX DE GORGE ALPHA-AMYLASE 3000 U. CEIP  comprimé enrobé;comprimé enrobé;SANOFI AVENTIS FRANCE
MEBEVERINE ZENTIVA 100 mg  gélule;gélule;ZENTIVA FRANCE
MEBEVERINE ZENTIVA 200 mg  comprimé sécable;comprimé sécable;ZENTIVA FRANCE
MEBEVERINE ZYDUS 200 mg  comprimé sécable;comprimé sécable;ZYDUS FRANCE
MECIR L.P. 0 4 mg  comprimé pelliculé à libération prolongée;comprimé pelliculé à libération prolongée;BOEHRINGER INGELHEIM FRANCE
MEDIALIPIDE 20 POUR CENT  émulsion pour perfusion;émulsion pour perfusion;B BRAUN MEDICAL
MEDIATENSYL LP 30 mg  gélule à libération prolongée;gélule à libération prolongée;TAKEDA FRANCE
MEDIATENSYL LP 60 mg  gélule à libération prolongée;gélule à libération prolongée;TAKEDA FRANCE
MEDIBRONC ADULTES  solution buvable en flacon;solution buvable;MERCK MEDICATION FAMILIALE
MEDIBRONC ENFANTS  sirop en flacon;sirop;MERCK MEDICATION FAMILIALE
MEDIFLOR N°14 CALMANTE - TROUBLE DU SOMMEIL  mélange de plantes pour tisane en sachet-dose;plante(s) pour tisane;MEDIFLOR
MEDIFLOR N°7 CONTRE LA CONSTIPATION PASSAGERE  mélange de plantes pour tisane en sachet-dose;mélange de plantes pour tisane;MEDIFLOR
MEDIKINET 10 mg  gélule à libération modifiée;gélule à libération modifiée;MEDICE
MEDIKINET 20 mg  gélule à libération modifiée;gélule à libération modifiée;MEDICE
MEDIKINET 30 mg  gélule à libération modifiée;gélule à libération modifiée;MEDICE
MEDIKINET 40 mg  gélule à libération modifiée;gélule à libération modifiée;MEDICE
MEDIKINET 5 mg  gélule à libération modifiée;gélule à libération modifiée;MEDICE
MEDIVEINE 300 mg  comprimé;comprimé;ELERTE
MEDIVEINE 600 mg  comprimé sécable;comprimé sécable;ELERTE
MEDNUTRIFLEX LIPIDE G 120/N 5 4  émulsion pour perfusion;solution et  émulsion et  solution pour perfusion;B BRAUN MELSUNGEN
MEDNUTRIFLEX LIPIDE G 120/N 5 4/E  émulsion pour perfusion;solution et  émulsion et  solution pour perfusion;B BRAUN MELSUNGEN
MEDNUTRIFLEX OMEGA E  émulsion pour perfusion;émulsion pour perfusion;B BRAUN MELSUNGEN
MEDNUTRIFLEX OMEGA G 120/N 5 4/E  émulsion pour perfusion;émulsion pour perfusion;B BRAUN MELSUNGEN
MEDROL 100 mg  comprimé;comprimé;PFIZER HOLDING FRANCE
MEDROL 16 mg  comprimé sécable;comprimé sécable;PFIZER HOLDING FRANCE
MEDROL 4 mg  comprimé sécable;comprimé sécable;PFIZER HOLDING FRANCE
MEGACE 160 mg  comprimé;comprimé;PHARMASWISS CESKA REPUBLIKA (RÉPUBLIQUE TCHÈQUE)
MEGAMAG 45 mg  gélule;gélule;LABORATOIRES MAYOLY SPINDLER
MEGAMAGNESIA 45 mg  gélule;gélule;LABORATOIRES MAYOLY SPINDLER
MEGAMYLASE 200 U.CEIP/ml  sirop;sirop;TOP PHARM
MEGAMYLASE 3000 U.CEIP  comprimé enrobé;comprimé enrobé;TOP PHARM
MEKINIST 0 5 mg  comprimé pelliculé;comprimé pelliculé;NOVARTIS EUROPHARM (ROYAUME-UNI)
MEKINIST 2 mg  comprimé pelliculé;comprimé pelliculé;NOVARTIS EUROPHARM (ROYAUME-UNI)
MELADININE 0 1 POUR CENT  solution pour application locale;solution pour application;XION
MELADININE 0 75 POUR CENT  solution pour application locale;solution pour application;XION
MELADININE 10 mg  comprimé;comprimé;XION
MELAXIB 3 50 g/4 29 g/2 14 g pour 10 g  pâte orale en sachet;pâte;BIOCODEX
MELAXOSE  pâte orale en pot;pâte;BIOCODEX
MELIANE  comprimé enrobé;comprimé enrobé;BAYER HEALTHCARE
MELILOTUS OFFICINALIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MELILOTUS OFFICINALIS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MELISSA OFFICINALIS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MELISSA OFFICINALIS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  solution en gouttes en gouttes;WELEDA
MELODIA 60 microgrammes/15 microgrammes  comprimé pelliculé;comprimé pelliculé et  comprimé pelliculé pelliculé;BAYER HEALTHCARE
MELOXICAM BIOGARAN 15 mg  comprimé sécable;comprimé sécable;BIOGARAN
MELOXICAM BIOGARAN 7 5 mg  comprimé;comprimé;BIOGARAN
MELOXICAM EG 15 mg  comprimé sécable;comprimé;EG LABO - LABORATOIRES EUROGENERICS
MELOXICAM EG 7 5 mg  comprimé;comprimé;EG LABO - LABORATOIRES EUROGENERICS
MELOXICAM SANDOZ 15 mg  comprimé sécable;comprimé sécable;SANDOZ
MELOXICAM TEVA 15 mg  comprimé sécable;comprimé sécable;TEVA SANTE
MELOXICAM TEVA 7 5 mg  comprimé;comprimé;TEVA SANTE
MELOXICAM ZENTIVA 15 mg  comprimé sécable;comprimé sécable;ZENTIVA FRANCE
MELOXICAM ZENTIVA 7 5 mg  comprimé;comprimé;ZENTIVA FRANCE
MEMANTINE ALMUS 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;BIOGARAN
MEMANTINE ALMUS 20 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
MEMANTINE ARROW 10 mg  comprimé pelliculé secable;comprimé pelliculé sécable;ARROW GENERIQUES
MEMANTINE ARROW 20 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
MEMANTINE ARROW LAB 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ARROW GENERIQUES
MEMANTINE ARROW LAB 20 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
MEMANTINE BIOGARAN 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;BIOGARAN
MEMANTINE BIOGARAN 20 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
MEMANTINE CRISTERS 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;CRISTERS
MEMANTINE CRISTERS 20 mg  comprimé pelliculé;comprimé pelliculé;CRISTERS
MEMANTINE EG 10 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
MEMANTINE EG 20 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
MEMANTINE EVOLUGEN 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;EVOLUPHARM
MEMANTINE EVOLUGEN 20 mg  comprimé pelliculé;comprimé pelliculé;EVOLUPHARM
MEMANTINE HCS 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;HCS (BELGIQUE)
MEMANTINE HCS 20 mg  comprimé pelliculé;comprimé pelliculé;HCS (BELGIQUE)
MEMANTINE LEK 10 mg  comprimé pelliculé;comprimé pelliculé;PHARMATHEN
MEMANTINE LEK 20 mg  comprimé pelliculé;comprimé pelliculé;PHARMATHEN
MEMANTINE MYLAN 10 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
MEMANTINE MYLAN 20 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
MEMANTINE OHRE PHARMA 10 mg/ml  solution buvable;solution buvable;ROSEMONT PHARMACEUTICALS (GRANDE BRETAGNE)
MEMANTINE RANBAXY 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;RANBAXY PHARMACIE GENERIQUES
MEMANTINE RANBAXY 20 mg  comprimé pelliculé;comprimé pelliculé;RANBAXY PHARMACIE GENERIQUES
MEMANTINE SANDOZ 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;SANDOZ
MEMANTINE SANDOZ 20 mg  comprimé pelliculé;comprimé pelliculé sécable;SANDOZ
MEMANTINE TEVA SANTE 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;TEVA SANTE
MEMANTINE TEVA SANTE 20 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
MEMANTINE ZENTIVA 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ZENTIVA FRANCE
MEMANTINE ZENTIVA 20 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ZENTIVA FRANCE
MEMANTINE ZYDUS FRANCE 10 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ZYDUS FRANCE
MEMANTINE ZYDUS FRANCE 20 mg  comprimé pelliculé;comprimé pelliculé;ZYDUS FRANCE
MENINGITEC  suspension injectable en seringue préremplie. Vaccin méningococcique du sérogroupe C oligosidique conjugué (adsorbé);suspension injectable;NURON BIOTECH (PAYS-BAS)
MENJUGATE 10 microgrammes  suspension injectable en seringue préremplie. Vaccin conjugué méningococcique groupe C;suspension injectable;GSK VACCINES SRL (ITALIE)
MENJUGATEKIT10 microgrammes  poudre et solvant pour suspension injectable. Vaccin conjugué méningococcique groupe C;poudre et  solvant pour suspension injectable;GSK VACCINES SRL (ITALIE)
MENOPUR 600 UI/ml  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FERRING (FRANCE)
MENOPUR 75 UI  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;FERRING (FRANCE)
MENVEO  poudre et solution pour solution injectable. Vaccin méningococcique des groupes A  C  W-135 et Y conjugué;poudre et  solution pour solution injectable;NOVARTIS VACCINES AND DIAGNOSTICS (ITALIE)
MENYANTHES TRIFOLIATA BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MENYANTHES TRIFOLIATA LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MEPACYL  solution pour usage dentaire;solution pour usage dentaire;PRODUITS DENTAIRES PIERRE ROLLAND
MEPIVACAINE B. BRAUN 10 mg/ml  solution injectable;solution injectable;B BRAUN MELSUNGEN
MEPIVACAINE B. BRAUN 20 mg/ml  solution injectable;solution injectable;B BRAUN MELSUNGEN
MEPSEVII 2 mg/ml  solution à diluer pour perfusion;solution à diluer pour perfusion;ULTRAGENYX GERMANY (ALLEMAGNE)
MERCALM  comprimé pelliculé sécable;comprimé pelliculé sécable;MELISANA PHARMA
MERCILON  comprimé;comprimé;MSD FRANCE
MERCRYL SOLUTION MOUSSANTE  solution pour application cutanée;solution pour application;MENARINI FRANCE
MERCRYL  solution pour application cutanée;solution pour application;MENARINI FRANCE
MERCRYLSPRAY  solution pour application cutanée en flacon pressurisé;solution pour application;MENARINI FRANCE
MERCUR SOL Complexe n°39  comprimé sublingual;comprimé;LEHNING
MERCURIUS BI-IODATUS BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MERCURIUS BI-IODATUS LEHNING  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MERCURIUS CORROSIVUS BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MERCURIUS CORROSIVUS LEHNING  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MERCURIUS CYANATUS BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MERCURIUS CYANATUS WELEDA  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;crème et solution et granules et poudre;WELEDA
MERCURIUS DULCIS BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MERCURIUS DULCIS LEHNING  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MERCURIUS DULCIS WELEDA  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;granules et  poudre et  solution en gouttes en gouttes;WELEDA
MERCURIUS PROTO-IODATUS BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MERCURIUS PROTO-IODATUS LEHNING  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MERCURIUS SOLUBILIS BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MERCURIUS SOLUBILIS LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MERCURIUS SOLUBILIS WELEDA  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;crème et solution et granules et poudre unidose;WELEDA
MERCURIUS VIVUS BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
MERCURIUS VIVUS LEHNING  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
MERCURIUS VIVUS WELEDA  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;crème et solution et granules et poudre;WELEDA
MERONEM 1 g  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;PFIZER
MEROPENEM ARROW 1 g  poudre pour solution injectable/pour perfusion;poudre pour solution injectable pour perfusion;ARROW GENERIQUES
MEROPENEM ARROW 500 mg  poudre pour solution injectable/pour perfusion;poudre pour solution injectable pour perfusion;ARROW GENERIQUES
MEROPENEM KABI 1 g  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;FRESENIUS KABI FRANCE
MEROPENEM MYLAN 1 g  poudre pour solution injectable/pour perfusion;poudre pour solution injectable pour perfusion;MYLAN SAS
MEROPENEM PANPHARMA 1 g  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;PANMEDICA
MEROPENEM PANPHARMA 500 mg  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;PANMEDICA
MESNA EG 100 mg/ml  solution injectable pour perfusion;solution pour perfusion;EG LABO - LABORATOIRES EUROGENERICS
MESOCAÏNE 25 mg/5 ml  solution injectable;solution injectable;PHARMY II
MESOCAÏNE 50 mg/5 ml  solution injectable;solution injectable;PHARMY II
MESTINON 60 mg  comprimé enrobé;comprimé enrobé;MEDA PHARMA
MESTINON LP 180 mg  comprimé à libération prolongée;comprimé à libération prolongée;MEDA PHARMA
METALYSE 10000 unités  poudre et solvant pour solution injectable;poudre et  solvant pour solution injectable;BOEHRINGER INGELHEIM INTERNATIONAL
METASPIRINE  comprimé;comprimé;LABORATOIRES OMEGA PHARMA FRANCE
METASTRON  solution injectable de chlorure de strontium [89 Sr];solution injectable;GE HEALTHCARE
METATRACE FDG  solution injectable;solution injectable;SIEMENS HEALTHCARE LIMITED (ROYAUME-UNI)
METEOSPASMYL  capsule molle;capsule molle;LABORATOIRES MAYOLY SPINDLER
METEOXANE  gélule;gélule;ALFASIGMA FRANCE
METFORMINE ALTER 1000 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES ALTER
METFORMINE ALTER 850 mg  comprimé pelliculé;comprimé pelliculé;LABORATOIRES ALTER
METFORMINE ARROW 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ARROW GENERIQUES
METFORMINE ARROW 500 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
METFORMINE ARROW 850 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
METFORMINE ARROW GENERIQUES 500 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
METFORMINE ARROW GENERIQUES 850 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
METFORMINE ARROW LAB 1000 mg  comprimé pelliculé sécable;comprimé pelliculé sécable;ARROW GENERIQUES
METFORMINE ARROW LAB 500 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
METFORMINE ARROW LAB 850 mg  comprimé pelliculé;comprimé pelliculé;ARROW GENERIQUES
METFORMINE BGR 500 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
METFORMINE BGR 850 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
